user_id,node_id,node_name,task_number,course_description,micro_competences_count,matched_competences_count,coverage_score,jaccard_score,weighted_coverage_score,matched_competence_ids,matched_competence_names,rank
1,599e4cef-1b6a-4027-a8dc-5fad3647a149,Номер 7 ЕГЭ,7,Вычисления,1,1,1.0,0.03333333333333333,0.704948005498667,1024e3ec-6786-4059-84fe-3ae001527444,Вычисления и преобразования,1
1,a5bbdc4d-a9ad-4a93-9ee2-37042e4139e0,18. Вероятность “кто окажется k-м”: вычисление m и n из текста (сумма/остаток/поровну),4,Теория Вероятностей,6,6,1.0,0.2,0.6399546708540416,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 5240ff10-72b6-4f5f-bf02-7b0c197d3c07 | 6c4e8a36-4884-40cf-848a-5f7174444d79 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет находить количество объектов в одной группе при равномерном распределении остатка: m=(N-a)/k. | Умеет находить число благоприятных исходов через вычисление количества объектов, удовлетворяющих условию, в том числе как остаток после распределения (напри., m=n−a−b−…) | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи",2
1,3d8e832a-5801-4316-b254-4d97a650fcff,5. Классическая вероятность при вычислении числа благоприятных исходов через остаток после распределения,4,Теория Вероятностей,5,5,1.0,0.16666666666666666,0.6308949467039354,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 6c4e8a36-4884-40cf-848a-5f7174444d79 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет находить число благоприятных исходов через вычисление количества объектов, удовлетворяющих условию, в том числе как остаток после распределения (напри., m=n−a−b−…) | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи",3
1,60f0aedc-bb56-4d28-877d-83501edb4324,2. Классическая вероятность: вычисление числа благоприятных исходов через дополнение и суммирование (с округлением результата),4,Теория Вероятностей,5,5,1.0,0.16666666666666666,0.6214455833059527,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 30b793a9-7275-40f1-9b91-6aed9314431d | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b6b546d9-93fe-4eae-a0d9-20a263004945 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет находить число благоприятных исходов через дополнение к событию как разность n−k, где k — число неблагоприятных исходов | Умеет округлять десятичную дробь до заданного разряда (десятых/сотых/тысячных) | Умеет определять число всех равновозможных исходов n по условию задачи",4
1,2387adbe-b043-4ee9-888c-2379a5c04b2c,"12. Жеребьевка очередности: вероятность на ""фиксированном месте - представитель страны/команды""",4,Теория Вероятностей,5,5,1.0,0.16666666666666666,0.6200957112569366,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b8044d8a-9b87-4042-9eaa-b3e139bf6278 | c1cf3211-be71-45bc-842d-8956cc885359,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи | Умеет применять принцип симметрии при случайной жеребьёвке порядка: каждый участник равновероятно занимает фиксированную позицию k",5
1,c3e41ffa-71c4-48a3-a101-b2a2901b4ef0,17. Игральные кости: классическая вероятность суммы S и округление ответа,4,Теория Вероятностей,5,5,1.0,0.16666666666666666,0.6188346467801061,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b6b546d9-93fe-4eae-a0d9-20a263004945 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет округлять десятичную дробь до заданного разряда (десятых/сотых/тысячных) | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи",6
1,c2fab005-cf31-4dbf-9002-ffc5700f28d5,"10. Расчет предельного времени/значения по формуле по условию ""не превышать порог""",9,Прикладные задачи,8,7,0.875,0.22580645161290322,0.6164827007738339,3acd7099-5c7c-471e-a65d-de2a85de0680 | 4462b5b1-2d3d-422b-970a-c9d696d46a4c | 6733c3b4-2db4-4513-948c-660afd433395 | 6aafe9b9-9d86-442a-9054-0372b4ff08d6 | b4cd88be-c890-4d73-9c8a-2071f67c2af2 | b798e593-5eca-4c9a-8f0b-b35d757117cc | d41fc97b-e924-4350-994b-5e0a2f8e4f62,"Умеет выбрать меньший/больший из корней уравнения, если требуется по условию | Умеет выполнять численные вычисления по полученной формуле | Умеет интерпретировать условие «значение выражения по формуле не менее/не более c» как неравенство Y(x) ≥ c / Y(x) ≤ c с выбором знака по смыслу условия | Умеет интерпретировать условие «значение выражения по формуле равно c» как уравнение Y(x)=с | Умеет подставлять известные значения (числа или выражения) в заданную формулу для получения уравнения/выражения относительно неизвестной. | Умеет решать квадратное уравнение | Умеет учитывать ограничение на переменную по смыслу задачи (например, скорость ≥ 0, скорость не может быть отрицательной) при выборе решения",7
1,0c25e3af-d751-4490-b181-de7ab2cc1660,11. Классическая вероятность попадания в одну группу при случайном распределении по равным группам,4,Теория Вероятностей,4,4,1.0,0.13333333333333333,0.6068916156798284,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи",8
1,d0700977-3f66-49e5-b561-fbb92f53c794,1. Классическое определение вероятности: равновозможные исходы при однократном выборе,4,Теория Вероятностей,4,4,1.0,0.13333333333333333,0.6068916156798284,2e7f87eb-5a14-4b20-99f4-7efc507e829b | 5067001a-a115-4624-823b-4de68176f569 | 8bec0745-c4fb-44d5-b059-7b7b84563b02 | b8044d8a-9b87-4042-9eaa-b3e139bf6278,"Умеет вычислять вероятность события по формуле классической вероятности P = m/n при равновозможных исходах | Умеет вычислять значение отношения двух чисел, заданного в виде дроби a/b, как результата деления a на b | Умеет определять число благоприятных исходов m по условию задачи | Умеет определять число всех равновозможных исходов n по условию задачи",9
1,718cff1c-7e93-4008-a39a-2fec8b3eef9d,11. Расчет максимального времени в зоне связи по расстоянию до города,9,Прикладные задачи,8,7,0.875,0.22580645161290322,0.6053971520346731,35fe8e27-a676-476b-98ea-a18533c20185 | 3acd7099-5c7c-471e-a65d-de2a85de0680 | 4462b5b1-2d3d-422b-970a-c9d696d46a4c | 6733c3b4-2db4-4513-948c-660afd433395 | b4cd88be-c890-4d73-9c8a-2071f67c2af2 | b798e593-5eca-4c9a-8f0b-b35d757117cc | d41fc97b-e924-4350-994b-5e0a2f8e4f62,"Умеет выбрать меньший/больший из корней уравнения, если требуется по условию | Умеет выполнять численные вычисления по полученной формуле | Умеет интерпретировать условие «значение выражения по формуле не менее/не более c» как неравенство Y(x) ≥ c / Y(x) ≤ c с выбором знака по смыслу условия | Умеет переводить значения между кратными и дольными единицами одной и той же величины, используя коэффициент вида 10^k | Умеет подставлять известные значения (числа или выражения) в заданную формулу для получения уравнения/выражения относительно неизвестной. | Умеет решать квадратное уравнение | Умеет учитывать ограничение на переменную по смыслу задачи (например, скорость ≥ 0, скорость не может быть отрицательной) при выборе решения",10
